Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/23/2020,12/25/2020,SEAMLSS,Food & Drink,Sale,-28.96,
12/23/2020,12/24/2020,CARWASH,Automotive,Sale,-9,
12/20/2020,12/21/2020,CREDIT,Fees & Adjustments,Adjustment,13.84,
12/20/2020,12/21/2020,SEAMLSS,Food & Drink,Sale,-39.35,
12/14/2020,12/15/2020,ELECTRICITY,Bills & Utilities,Sale,-10.41,
12/05/2020,12/07/2020,SEAMLSS,Food & Drink,Sale,-60.62,
12/01/2020,12/03/2020,SEAMLSS,Food & Drink,Sale,-45.47,
12/01/2020,12/01/2020,FEE,Fees & Adjustments,Fee,-450,
11/29/2020,12/01/2020,SEAMLSS,Food & Drink,Sale,-60.08,
11/26/2020,11/27/2020,GOOGLE *Google Storage,Shopping,Sale,-19.99,
11/24/2020,11/26/2020,SEAMLSS,Food & Drink,Sale,-46.01,
11/22/2020,11/24/2020,SEAMLSS,Food & Drink,Sale,-41.14,
11/19/2020,11/20/2020,LYFT,Travel,Sale,-15.25,
11/15/2020,11/17/2020,WHOLEFDS,Groceries,Sale,-61.39,
11/15/2020,11/17/2020,SEAMLSS,Food & Drink,Sale,-33.01,
11/13/2020,11/15/2020,WHOLEFDS,Groceries,Sale,-38.53,
11/13/2020,11/15/2020,SEAMLSS,Food & Drink,Sale,-4.23,
11/11/2020,11/12/2020,SEAMLSS,Food & Drink,Sale,-0.42,
11/10/2020,11/11/2020,SEAMLSS,Food & Drink,Sale,-0.42,
11/03/2020,11/04/2020,WHOLEFDS,Groceries,Sale,-58.04,
10/31/2020,11/01/2020,SEAMLSS,Food & Drink,Sale,-0.42,
10/28/2020,10/29/2020,SEAMLSS,Food & Drink,Sale,-4.23,
10/27/2020,10/28/2020,ELECTRICITY,Bills & Utilities,Sale,-30.79,
10/22/2020,10/23/2020,SEAMLSS,Food & Drink,Sale,-0.42,
10/17/2020,10/18/2020,SEAMLSS,Food & Drink,Sale,-4.23,
10/13/2020,10/14/2020,SEAMLSS,Food & Drink,Sale,-1.29,
10/08/2020,10/09/2020,SEAMLSS,Food & Drink,Sale,-1.71,
10/04/2020,10/06/2020,SEAMLSS,Food & Drink,Sale,-7.68,
10/04/2020,10/05/2020,SEAMLSS,Food & Drink,Sale,-33.6,
10/02/2020,10/04/2020,SEAMLSS,Food & Drink,Sale,-4.23,
09/19/2020,09/20/2020,SEAMLSS,Food & Drink,Sale,-25.77,
08/20/2020,08/21/2020,LYFT,Travel,Sale,-15.87,
08/07/2020,08/09/2020,SEAMLSS,Food & Drink,Sale,-1.79,
08/06/2020,08/07/2020,CVS,Health & Wellness,Sale,-11.41,
08/05/2020,08/06/2020,SEAMLSS,Food & Drink,Sale,-2.52,
08/02/2020,08/03/2020,SEAMLSS,Food & Drink,Sale,-28.97,
08/01/2020,08/02/2020,CREDIT,Fees & Adjustments,Adjustment,13.2,
08/01/2020,08/02/2020,SEAMLSS,Food & Drink,Sale,-13.2,
07/31/2020,08/02/2020,SEAMLSS,Food & Drink,Sale,-2.88,
07/30/2020,07/31/2020,SEAMLSS,Food & Drink,Sale,-11.9,
07/30/2020,07/31/2020,SEAMLSS,Food & Drink,Sale,-2.88,
07/29/2020,07/30/2020,SEAMLSS,Food & Drink,Sale,-2.88,
07/26/2020,07/27/2020,SEAMLSS,Food & Drink,Sale,-22.71,
07/15/2020,07/15/2020,AUTOMATIC PAYMENT - THANK,,Payment,247.58,
07/12/2020,07/13/2020,WHOLEFDS,Groceries,Return,13.98,
07/11/2020,07/12/2020,SEAMLSS,Food & Drink,Sale,-18.95,
07/08/2020,07/08/2020,WHOLEFDS,Groceries,Sale,-84.73,
07/06/2020,07/07/2020,Amazon.com*MJ5V27HZ1,Shopping,Sale,-7.76,
06/15/2020,06/16/2020,SEAMLSS,Food & Drink,Sale,-70.36,
06/12/2020,06/14/2020,SEAMLSS,Food & Drink,Sale,-16.53,
06/13/2020,06/14/2020,SEAMLSS,Food & Drink,Sale,-17.29,
06/11/2020,06/12/2020,SEAMLSS,Food & Drink,Sale,-2.6,
06/10/2020,06/11/2020,SEAMLSS,Food & Drink,Sale,-16.2,
06/09/2020,06/10/2020,SEAMLSS,Food & Drink,Sale,-14.67,
06/05/2020,06/07/2020,SEAMLSS,Food & Drink,Sale,-14.62,
06/06/2020,06/07/2020,SEAMLSS,Food & Drink,Sale,-16.84,
06/06/2020,06/07/2020,HUNGRYPANDA US INC,Shopping,Sale,-41.53,
06/04/2020,06/05/2020,SEAMLSS,Food & Drink,Sale,-2.6,
06/03/2020,06/04/2020,SEAMLSS,Food & Drink,Sale,-2.33,
06/02/2020,06/03/2020,SEAMLSS,Food & Drink,Sale,-6.84,
06/01/2020,06/01/2020,Amazon.com*MY5SP0331,Shopping,Sale,-5,
05/28/2020,05/29/2020,HUNGRYPANDA US INC,Shopping,Sale,-51.54,
05/26/2020,05/27/2020,Amazon.com*M79BF8DC0,Shopping,Sale,-33.97,
05/26/2020,05/27/2020,AMZN Mktp US*M74RA9640,Shopping,Sale,-10.55,
05/03/2020,05/04/2020,SEAMLSS,Food & Drink,Return,0.01,
04/15/2020,04/15/2020,AUTOMATIC PAYMENT - THANK,,Payment,314.51,
03/15/2020,03/15/2020,AUTOMATIC PAYMENT - THANK,,Payment,389.41,
03/12/2020,03/13/2020,SEAMLSS,Food & Drink,Sale,-5.19,
03/11/2020,03/12/2020,SEAMLSS,Food & Drink,Sale,-0.96,
03/10/2020,03/12/2020,SEAMLSS,Food & Drink,Sale,-55.75,
03/05/2020,03/06/2020,SEAMLSS,Food & Drink,Sale,-5.45,
03/05/2020,03/05/2020,SEAMLSS,Food & Drink,Sale,-17.32,
03/04/2020,03/05/2020,SEAMLSS,Food & Drink,Sale,-0.96,
03/03/2020,03/04/2020,SEAMLSS,Food & Drink,Sale,-0.88,
02/29/2020,03/01/2020,SEAMLSS,Food & Drink,Sale,-0.08,
02/27/2020,02/28/2020,SEAMLSS,Food & Drink,Sale,-3.36,
02/26/2020,02/27/2020,SEAMLSS,Food & Drink,Sale,-0.96,
02/27/2020,02/27/2020,SEAMLSS,Food & Drink,Sale,-44.92,
02/21/2020,02/23/2020,DELTA,Travel,Sale,-164.99,
02/22/2020,02/23/2020,SEAMLSS,Food & Drink,Sale,-4.56,
02/21/2020,02/23/2020,SEAMLSS,Food & Drink,Sale,-1.5,
02/20/2020,02/21/2020,SEAMLSS,Food & Drink,Sale,-0.05,
02/19/2020,02/20/2020,SEAMLSS,Food & Drink,Sale,-1.42,
02/17/2020,02/19/2020,SEAMLSS,Food & Drink,Sale,-6.16,
02/17/2020,02/18/2020,LYFT,Travel,Sale,-38.46,
02/16/2020,02/18/2020,SEAMLSS,Food & Drink,Sale,-38.97,
02/16/2020,02/18/2020,SEAMLSS,Food & Drink,Sale,-5.95,
02/14/2020,02/17/2020,SEAMLSS,Food & Drink,Sale,-30.28,
02/14/2020,02/16/2020,SEAMLSS,Food & Drink,Sale,-18.84,
02/14/2020,02/16/2020,SEAMLSS,Food & Drink,Sale,-8.48,
02/14/2020,02/14/2020,AUTOMATIC PAYMENT - THANK,,Payment,1094.98,
02/11/2020,02/12/2020,SEAMLSS,Food & Drink,Sale,-1.92,
02/08/2020,02/09/2020,SEAMLSS,Food & Drink,Sale,-1.62,
02/08/2020,02/09/2020,CREDIT,Fees & Adjustments,Adjustment,32.96,
02/08/2020,02/09/2020,SEAMLSS,Food & Drink,Sale,-32.96,
02/06/2020,02/07/2020,SEAMLSS,Food & Drink,Sale,-1.21,
02/05/2020,02/06/2020,SEAMLSS,Food & Drink,Sale,-2.16,
02/04/2020,02/05/2020,SEAMLSS,Food & Drink,Sale,-0.96,
02/02/2020,02/03/2020,SEAMLSS,Food & Drink,Sale,-52,
01/31/2020,02/02/2020,SEAMLSS,Food & Drink,Sale,-3,
01/30/2020,01/31/2020,SEAMLSS,Food & Drink,Sale,-1.21,
01/29/2020,01/30/2020,SEAMLSS,Food & Drink,Sale,-0.79,
01/28/2020,01/29/2020,SEAMLSS,Food & Drink,Sale,-9.41,
01/29/2020,01/29/2020,SEAMLSS,Food & Drink,Sale,-57.91,
01/27/2020,01/28/2020,UBER TECHNOLOGIES INC,Travel,Sale,-20.66,
01/27/2020,01/28/2020,UBER TECHNOLOGIES INC,Travel,Sale,-4.23,
01/26/2020,01/27/2020,SEAMLSS,Food & Drink,Sale,-12.61,
01/24/2020,01/27/2020,SEAMLSS,Food & Drink,Sale,-31.21,
01/24/2020,01/26/2020,UBER TECHNOLOGIES INC,Travel,Sale,-4.01,
01/24/2020,01/26/2020,SEAMLSS,Food & Drink,Sale,-13.06,
01/24/2020,01/26/2020,CARWASH,Automotive,Sale,-55.61,
01/24/2020,01/26/2020,UBER TECHNOLOGIES INC,Travel,Sale,-1.03,
01/20/2020,01/22/2020,SEAMLSS,Food & Drink,Sale,-21.73,
01/20/2020,01/21/2020,SEAMLSS,Food & Drink,Sale,-5.72,
01/18/2020,01/20/2020,WHOLEFDS,Groceries,Sale,-15.43,
01/16/2020,01/19/2020,WHOLEFDS,Groceries,Sale,-10.08,
01/15/2020,01/15/2020,AUTOMATIC PAYMENT - THANK,,Payment,1563.14,
01/13/2020,01/14/2020,UBER TECHNOLOGIES INC,Travel,Sale,-5.23,
01/13/2020,01/14/2020,LYFT,Travel,Sale,-43.04,
01/13/2020,01/14/2020,UBER TECHNOLOGIES INC,Travel,Sale,-25.52,
01/11/2020,01/13/2020,WHOLEFDS,Groceries,Sale,-18.12,
01/12/2020,01/13/2020,SEAMLSS,Food & Drink,Sale,-9.53,
01/12/2020,01/13/2020,SEAMLSS,Food & Drink,Sale,-8.71,
01/09/2020,01/12/2020,SEAMLSS,Food & Drink,Sale,-149.16,
01/09/2020,01/10/2020,SEAMLSS,Food & Drink,Sale,-38.85,
01/06/2020,01/08/2020,LYFT,Travel,Sale,-33,
01/06/2020,01/08/2020,SEAMLSS,Food & Drink,Sale,-7.02,
01/06/2020,01/07/2020,SEAMLSS,Food & Drink,Sale,-3.27,
01/06/2020,01/07/2020,SEAMLSS,Food & Drink,Sale,-33.64,
01/06/2020,01/07/2020,SEAMLSS,Food & Drink,Sale,-49.5,
01/05/2020,01/06/2020,SEAMLSS,Food & Drink,Sale,-29.3,
01/03/2020,01/05/2020,SEAMLSS,Food & Drink,Sale,-17.83,
01/01/2020,01/03/2020,SEAMLSS,Food & Drink,Sale,-4.89,
12/31/2019,01/02/2020,SEAMLSS,Food & Drink,Sale,-17.58,
12/29/2019,12/31/2019,SEAMLSS,Food & Drink,Sale,-21.75,
12/30/2019,12/31/2019,SEAMLSS,Food & Drink,Sale,-36,
12/30/2019,12/31/2019,SEAMLSS,Food & Drink,Sale,-41.14,
12/28/2019,12/30/2019,SEAMLSS,Food & Drink,Sale,-9.34,
12/28/2019,12/30/2019,LYFT,Travel,Sale,-33,
12/28/2019,12/29/2019,SEAMLSS,Food & Drink,Sale,-68,
12/28/2019,12/29/2019,SEAMLSS,Food & Drink,Sale,-41.37,
